system	replicate	structure	trajectory	selection_for_receptor	dry_topology_atoms	dry_trajectory_atoms	receptor_atoms	receptor_residues	saved_frames	first_time_ns	last_time_ns	saved_interval_ps	intended_replicate_length_ns	notes
apo	rep1	gpcr/apo/md-initial.pdb	gpcr/apo/2000ns.xtc	protein	4764	4764	4764	293	20000	1.975	2001.88	100	2000	Dry trajectory used by AlloViz/SOMMD figure analyses; raw trajectory is not copied into this code package.
apo	rep2	gpcr/apo/md-initial.pdb	gpcr/apo/second/2000ns.xtc	protein	4764	4764	4764	293	20000	1.975	2001.88	100	2000	Dry trajectory used by AlloViz/SOMMD figure analyses; raw trajectory is not copied into this code package.
apo	rep3	gpcr/apo/md-initial.pdb	gpcr/apo/third/2000ns.xtc	protein	4764	4764	4764	293	4000	1.975	2001.47	500	2000	Dry trajectory used by AlloViz/SOMMD figure analyses; raw trajectory is not copied into this code package.
BM213	rep1	gpcr/bm213/md-initial.pdb	gpcr/bm213/2wframe.xtc	protein and not resid 282-289	4717	4717	4581	281	20000	1.975	2001.95	100.004	2000	Dry trajectory used by AlloViz/SOMMD figure analyses; raw trajectory is not copied into this code package.
BM213	rep2	gpcr/bm213/md-initial.pdb	gpcr/bm213/second/2wframe.xtc	protein and not resid 282-289	4717	4717	4581	281	20000	1.975	2001.88	100	2000	Dry trajectory used by AlloViz/SOMMD figure analyses; raw trajectory is not copied into this code package.
BM213	rep3	gpcr/bm213/md-initial.pdb	gpcr/bm213/third/2wframe.xtc	protein and not resid 282-289	4717	4717	4581	281	20000	1.975	2001.88	100	2000	Dry trajectory used by AlloViz/SOMMD figure analyses; raw trajectory is not copied into this code package.
C5apep	rep1	gpcr/c5apep/md-initial.pdb	gpcr/c5apep/2wframe.xtc	protein	4752	4752	4614	283	20000	1.975	2001.88	100	2000	Dry trajectory used by AlloViz/SOMMD figure analyses; raw trajectory is not copied into this code package.
C5apep	rep2	gpcr/c5apep/md-initial.pdb	gpcr/c5apep/second/2wframe2.xtc	protein	4752	4752	4614	283	20000	1.975	2001.88	100	2000	Dry trajectory used by AlloViz/SOMMD figure analyses; raw trajectory is not copied into this code package.
C5apep	rep3	gpcr/c5apep/md-initial.pdb	gpcr/c5apep/third/2wframe3.xtc	protein	4752	4752	4614	283	20000	1.975	2001.88	100	2000	Dry trajectory used by AlloViz/SOMMD figure analyses; raw trajectory is not copied into this code package.
